URL;Buch Titel;Star rating;Title Review;Helpful;Author
the-wall/john-lanchester/9780571298709;peppa pig beep beep brrrm;5;This Was A Man -Jeffrey Archerù;66;NA
the-wall/john-lanchester/9780571298709;peppa pig beep beep brrrm;5;Archer at his bestù;65;NA
the-wall/john-lanchester/9780571298709;peppa pig beep beep brrrm;5;This was a man by Jeffrey Archerù;30;NA
ten-minutes-to-bed-little-unicorn/chris-chatterton/rhiannon-fielding/9780241348925;peppa pig peppa goes to london;5;Gripping as alwaysù;64;NA
ten-minutes-to-bed-little-unicorn/chris-chatterton/rhiannon-fielding/9780241348925;peppa pig peppa goes to london;5;My First Reacher Novel and I'm hooked-Will Go Back And Read Others. ù;56;NA
ten-minutes-to-bed-little-unicorn/chris-chatterton/rhiannon-fielding/9780241348925;peppa pig peppa goes to london;5;Fantastic: interesting, informative and though provokingù;34;NA
milkman/anna-burns/9780571338757;peppa pig the wheels on the bus;1;Disappointedù;58;NA
milkman/anna-burns/9780571338757;peppa pig the wheels on the bus;4;Wounds of Honour: 1ù;46;NA
milkman/anna-burns/9780571338757;peppa pig the wheels on the bus;4;Wounds of Honour: 1ù;38;NA
the-seven-deaths-of-evelyn-hardcastle/stuart-turton/9781408889510;ladybird favourite nursery rhymes;;Rowling does it againù;87;NA
the-seven-deaths-of-evelyn-hardcastle/stuart-turton/9781408889510;ladybird favourite nursery rhymes;5;Absolutely amazingù;85;NA
normal-people/sally-rooney/9780571354054;ladybird favourite nursery rhymes;5;Jack Reacherôs back, in his best adventure for years¶ù;84;NA
normal-people/sally-rooney/9780571354054;giles the collection 2019;5;A master of urban fantasy.ù;76;NA
normal-people/sally-rooney/9780571354054;giles the collection 2019;4;Requires your urgent reading attention.ù;41;NA
the-librarian/salley-vickers/9780241330234;giles the collection 2019;5;Excellent readù;26;NA
the-librarian/salley-vickers/9780241330234;peppa pig 123 with peppa;5;The House at Rivertonù;47;NA
the-librarian/salley-vickers/9780241330234;peppa pig 123 with peppa;2;The House at Rivertonù;47;NA
the-choice/edith-eger/9781846045127;peppa pig 123 with peppa;5;The House at Rivertonù;45;NA
the-choice/edith-eger/9781846045127;noisy animals book;5;Both Clever and Creativeù;61;NA
the-choice/edith-eger/9781846045127;noisy animals book;4;Excellent research and great mysteryù;13;NA
pinch-of-nom/kay-featherstone/catherine-allinson/9781529014068;noisy animals book;5;Great foolow up to the Jacobite Apprentice!ù;12;NA
pinch-of-nom/kay-featherstone/catherine-allinson/9781529014068;shunt;5;Laugh out loud funny, with a serious messageù;97;NA
pinch-of-nom/kay-featherstone/catherine-allinson/9781529014068;shunt;5;One of the best Swansong-Memoirs in living memoryù;48;NA
the-boy-at-the-back-of-the-class/onjali-q-rauf/9781510105010;shunt;5;Gone but certainly never forgottenù;29;NA
the-boy-at-the-back-of-the-class/onjali-q-rauf/9781510105010;the priory of the orange tree;5;Beautifully crafted, infused with magic and history and mythù;34;NA
bolder/carl-honore/9781471164354;the priory of the orange tree;2;no oommpphh!ù;26;NA
bolder/carl-honore/9781471164354;the priory of the orange tree;4;Amusing.ù;10;NA
bolder/carl-honore/9781471164354;the little tapas book;5;The Blind Assassinù;100;NA
tom-kerridges-fresh-start/tom-kerridge/9781472962805;the little tapas book;2;Confused and messyù;27;NA
tom-kerridges-fresh-start/tom-kerridge/9781472962805;the little tapas book;5;Great read!ù;25;NA
tom-kerridges-fresh-start/tom-kerridge/9781472962805;what would audrey do;5;Simply wonderful....ù;63;NA
zog-christmas/julia-donaldson/axel-scheffler/9781407186955;what would audrey do;5;Practically perfect in every way!ù;19;NA
zog-christmas/julia-donaldson/axel-scheffler/9781407186955;what would audrey do;5;Beautifully writtenù;15;NA
zog-christmas/julia-donaldson/axel-scheffler/9781407186955;make a memory bump to baby photo cards;5;love it !ù;33;NA
winter/ali-smith/9780241973332;make a memory bump to baby photo cards;5;AMAZINGù;21;NA
